,rate
1990-01-01,0.7855
1990-01-02,0.7818
1990-01-03,0.7867
1990-01-04,0.786
1990-01-05,0.7849
1990-01-06,0.7866
1990-01-07,0.7886
1990-01-08,0.791
1990-01-09,0.7939
1990-01-10,0.7894
1990-01-11,0.7917
1990-01-12,0.7941
1990-01-13,0.7935
1990-01-14,0.7954
1990-01-15,0.7751
1990-01-16,0.7622
1990-01-17,0.7583
1990-01-18,0.7605
1990-01-19,0.7635
1990-01-20,0.766
1990-01-21,0.7685
1990-01-22,0.7702
1990-01-23,0.7735
1990-01-24,0.7655
1990-01-25,0.7665
1990-01-26,0.7575
1990-01-27,0.7545
1990-01-28,0.7493
1990-01-29,0.7521
1990-01-30,0.7521
1990-01-31,0.7457
1990-02-01,0.75
1990-02-02,0.7567
1990-02-03,0.7595
1990-02-04,0.7586
1990-02-05,0.7646
1990-02-06,0.7652
1990-02-07,0.765
1990-02-08,0.7605
1990-02-09,0.7601
1990-02-10,0.7635
1990-02-11,0.7596
1990-02-12,0.7585
1990-02-13,0.7611
1990-02-14,0.7596
1990-02-15,0.7607
1990-02-16,0.7607
1990-02-17,0.758
1990-02-18,0.761
1990-02-19,0.7635
1990-02-20,0.7563
1990-02-21,0.7536
1990-02-22,0.7549
1990-02-23,0.7565
1990-02-24,0.752
1990-02-25,0.7504
1990-02-26,0.7474
1990-02-27,0.7469
1990-02-28,0.7452
1990-03-01,0.7471
1990-03-02,0.7523
1990-03-03,0.7548
1990-03-04,0.7561
1990-03-05,0.7605
1990-03-06,0.7669
1990-03-07,0.765
1990-03-08,0.765
1990-03-09,0.763
1990-03-10,0.7643
1990-03-11,0.7663
1990-03-12,0.7663
1990-03-13,0.765
1990-03-14,0.7654
1990-03-15,0.7653
1990-03-16,0.77
1990-03-17,0.7732
1990-03-18,0.7705
1990-03-19,0.7655
1990-03-20,0.7663
1990-03-21,0.766
1990-03-22,0.756
1990-03-23,0.7503
1990-03-24,0.75
1990-03-25,0.7457
1990-03-26,0.752
1990-03-27,0.7552
1990-03-28,0.7546
1990-03-29,0.7565
1990-03-30,0.7577
1990-03-31,0.7585
1990-04-01,0.7587
1990-04-02,0.76
1990-04-03,0.7669
1990-04-04,0.7645
1990-04-05,0.7625
1990-04-06,0.7617
1990-04-07,0.7605
1990-04-08,0.764
1990-04-09,0.764
1990-04-10,0.7653
1990-04-11,0.7623
1990-04-12,0.7668
1990-04-13,0.766
1990-04-14,0.772
1990-04-15,0.7678
1990-04-16,0.7693
1990-04-17,0.7676
1990-04-18,0.771
1990-04-19,0.7718
1990-04-20,0.7775
1990-04-21,0.7725
1990-04-22,0.7751
1990-04-23,0.774
1990-04-24,0.7743
1990-04-25,0.775
1990-04-26,0.7756
1990-04-27,0.7792
1990-04-28,0.784
1990-04-29,0.7833
1990-04-30,0.7901
1990-05-01,0.7852
1990-05-02,0.7851
1990-05-03,0.7846
1990-05-04,0.7875
1990-05-05,0.7853
1990-05-06,0.7916
1990-05-07,0.7964
1990-05-08,0.7974
1990-05-09,0.799
1990-05-10,0.7974
1990-05-11,0.8025
1990-05-12,0.8066
1990-05-13,0.7965
1990-05-14,0.7913
1990-05-15,0.7804
1990-05-16,0.7815
1990-05-17,0.7899
1990-05-18,0.7915
1990-05-19,0.7819
1990-05-20,0.7838
1990-05-21,0.7839
